Battery_ID,formula,working_ion,formula_charge,formula_discharge,voltage,capacity,volume_change
mp-19482_Na,Na1-2V(PO4)2,Na,NaV(PO4)2,Na2V(PO4)2,3.8704488865517312,93.4293021404477,0.032723501127793
mp-20135_Na,Na1-2Ca2Ta3O10,Na,NaCa2Ta3O10,Na2Ca2Ta3O10,0.342709186551733,32.330938851267106,0.001468469016484
mp-21213_Na,Na0-1Cr(GeO3)2,Na,Cr(GeO3)2,NaCr(GeO3)2,4.347084786551722,84.74447870869932,0.036350359127551
mp-21855_Na,Na0-1VCu3Se4,Na,VCu3Se4,NaVCu3Se4,0.537626946551722,46.17686615965185,0.125143336374269
mp-21867_Na,Na0-1Fe(SiO3)2,Na,Fe(SiO3)2,NaFe(SiO3)2,4.70268335155173,116.02263835400416,0.031069756395204
mp-21966_Na,Na0-1Ni4(PO4)3,Na,Ni4(PO4)3,NaNi4(PO4)3,4.56608707905173,49.38749690925596,0.008492630788864
mp-2219156_Na,Na0-2MgMn4O8,Na,MgMn4O8,Na2MgMn4O8,3.827439061551718,128.22696045645176,0.007685542946047
mp-2228929_Na,Na2-4Mg(NiO2)5,Na,Na2Mg(NiO2)5,Na4Mg(NiO2)5,2.725941631551723,94.08566419736076,0.053423928558871
mp-22614_Na,Na0-1Fe(GeO3)2,Na,Fe(GeO3)2,NaFe(GeO3)2,4.856140101551727,83.72554199107229,0.025502870259686
mp-23621_Na,Na0-1Bi(PO3)4,Na,Bi(PO3)4,NaBi(PO3)4,5.355895026551711,48.92048724307735,0.006335109714154
mp-25205_Na,Na0-2Cu5(Si2O7)2,Na,Cu5(Si2O7)2,Na2Cu5(Si2O7)2,3.736457356551728,76.57094161509809,0.079784080789216
mp-25237_Na,Na0-1Mn(PO3)3,Na,Mn(PO3)3,NaMn(PO3)3,3.951715941551714,85.12630591473967,0.100132211014461
mp-25269_Na,Na0-1Ni2P3O10,Na,Ni2P3O10,NaNi2P3O10,4.774255881551728,68.1465450798183,0.045298644705215
mp-25270_Na,Na0-1Co2P3O10,Na,Co2P3O10,NaCo2P3O10,4.302846381551721,68.06354667567655,0.047130081865473
mp-25310_Na,Na0-1Fe(PO3)3,Na,Fe(PO3)3,NaFe(PO3)3,3.273735689051709,84.88179104995677,0.081538243017999
mp-25359_Na,Na0-1Mo3P3O16,Na,Mo3P3O16,NaMo3P3O16,4.099200366551717,40.62545022730656,0.008132896886684
mp-25992_Na,Na0-2Ni3(P2O7)2,Na,Ni3(P2O7)2,Na2Ni3(P2O7)2,4.59850816155171,94.04913085642455,0.062252860454384
mp-26048_Na,Na0-1Mo2(PO4)3,Na,Mo2(PO4)3,NaMo2(PO4)3,3.008921911551742,53.626144306619445,0.016526202005504
mp-26104_Na,Na0-3V2(PO4)3,Na,V2(PO4)3,Na3V2(PO4)3,3.348916998218388,176.415910700775,0.118606396177811
mp-26194_Na,Na0-1Mo2P3O13,Na,Mo2P3O13,NaMo2P3O13,3.91118607405173,51.96268174858514,0.01029582987395
mp-26304_Na,Na0-6Cu9(PO4)8,Na,Cu9(PO4)8,Na6Cu9(PO4)8,4.016838964885053,109.42182510972124,0.070111260876353
mp-26314_Na,Na0-4Ni5(P3O11)2,Na,Ni5(P3O11)2,Na4Ni5(P3O11)2,4.733145381551726,116.11729417209374,0.078125283189119
mp-26316_Na,Na0-3Cr2(PO4)3,Na,Cr2(PO4)3,Na3Cr2(PO4)3,4.291304676551717,175.60325231964254,0.087594040190126
mp-26412_Na,Na0-3Fe2(PO4)3,Na,Fe2(PO4)3,Na3Fe2(PO4)3,4.315440844051721,172.69982456025753,0.094489032003687
mp-26500_Na,Na0-3.5Cr2(PO4)3,Na,Cr2(PO4)3,Na7Cr4(PO4)6,3.702667313694579,199.85318274074345,0.162168072105599
mp-26600_Na,Na0-1Mo(PO4)2,Na,Mo(PO4)2,NaMo(PO4)2,4.090156524051739,86.77199080031944,0.022895756354055
mp-27102_Na,Na0-7Fe4P9O32,Na,Fe4P9O32,Na7Fe4P9O32,5.024058592266007,159.66119073650506,0.030861378610083
mp-27826_Na,Na0-1K2MoCl6,Na,K2MoCl6,K2NaMoCl6,2.331529446551723,65.39428903817266,0.105981700752469
mp-28269_Na,Na0-1Cs2SbBr6,Na,Cs2SbBr6,Cs2NaSbBr6,2.658470926551722,30.11454236915238,0.078915956344642
mp-31363_Na,Na0-1K2TaCl6,Na,K2TaCl6,K2NaTaCl6,0.8523509965517241,54.16057254333895,0.087194124412371
mp-31829_Na,Na0-3Fe3(PO4)4,Na,Fe3(PO4)4,Na3Fe3(PO4)4,4.975958633218391,130.44415919359105,0.010094574705725
mp-37153_Na,Na0-2AgAsF6,Na,AgAsF6,Na2AgAsF6,2.3646451365517223,156.38639331826263,0.143001846170971
mp-504265_Na,Na0-1CuPO4,Na,CuPO4,NaCuPO4,3.827826506551719,147.6607610751055,0.119355330983493
mp-504406_Na,Na0-7Cr4P9O32,Na,Cr4P9O32,Na7Cr4P9O32,4.836489255123154,161.78085102327796,0.071709797336885
mp-510351_Na,Na0-1Fe7(PO4)6,Na,Fe7(PO4)6,NaFe7(PO4)6,2.751346386551748,27.244671821694524,0.013295017242756
mp-540496_Na,Na0-1Cu(PO3)3,Na,Cu(PO3)3,NaCu(PO3)3,4.73160593155173,82.86085635320941,0.069942191382787
mp-540735_Na,Na0-1Cs2UBr6,Na,Cs2UBr6,Cs2NaUBr6,1.146542039051727,26.634917476098167,0.066434180103435
mp-553997_Na,Na0-2Mn(PO3)5,Na,Mn(PO3)5,Na2Mn(PO3)5,5.518748891551727,108.11901265974252,0.032649624134923
mp-554252_Na,Na0-1K2CrF6,Na,K2CrF6,K2NaCrF6,5.256506976551723,100.3151229072788,0.035666679242374
mp-554302_Na,Na0-1Cs2MnF6,Na,Cs2MnF6,Cs2NaMnF6,3.040560616551719,58.55314630968972,0.088332356025818
mp-556353_Na,Na0-1Rb2NiF6,Na,Rb2NiF6,Rb2NaNiF6,4.578058656551722,73.10640864318114,0.027058084263794
mp-556692_Na,Na0.33-0.67FePO4,Na,NaFe3(PO4)3,Na2Fe3(PO4)3,3.751246721551734,53.771954146942406,0.039539820351895
mp-556757_Na,Na0-1K2NiF6,Na,K2NiF6,K2NaNiF6,4.676244266551723,97.86198817079767,0.03815173862344
mp-556822_Na,Na1-2CuP2O7,Na,NaCuP2O7,Na2CuP2O7,4.17689376405173,94.54823680922271,0.039693862506569
mp-557171_Na,Na1-2Cu(PO3)4,Na,NaCu(PO3)4,Na2Cu(PO3)4,4.838523791551726,63.00102909804375,0.022755897452228
mp-557397_Na,Na0-1K2MnF6,Na,K2MnF6,K2NaMnF6,3.855023356551729,99.222544723181,0.030635571576359
